Id,ShortName,LongName
1,1,"West Edmonton Mall - Downtown - Capilano"
2,1,"West Edmonton Mall - Downtown - Capilano"
3,2,"Lessard - Downtown - Highlands - Clareview"
4,2,"Lessard - Downtown - Highlands - Clareview"
5,3,"Jasper Place - Downtown - Cromdale"
6,3,"Jasper Place - Downtown - Cromdale"
7,4,"Lewis Farms - University - Capilano"
8,4,"Lewis Farms - University - Capilano"
9,5,"Westmount - Downtown - Coliseum"
10,5,"Westmount - Downtown - Coliseum"
11,6,"Mill Woods TC - Southgate"
12,6,"Mill Woods - Southgate"
13,7,"Jasper Place - Downtown - University"
14,7,"Jasper Place - Downtown - University"
15,8,"Mill Woods TC - Downtown - Abbottsfield"
16,8,"Mill Woods - Downtown - Abbottsfield"
17,9,"Southgate - Downtown - Eaux Claires"
18,9,"Southgate - Downtown - Eaux Claires"
19,10,"Clareview - Belvedere - LON - Coliseum"
20,10,"Clareview - Belvedere - LON - Coliseum"
21,11,"Clareview - Londonderry - Northgate"
22,11,"Clareview - Londonderry - Northgate"
23,12,"Northgate - Wellington - Kingsway - RAH"
24,12,"Northgate - Kingsway-RAH"
25,13,"Castle Downs - Northgate"
26,13,"Castle Downs - Northgate"
27,14,"Jasper Place - WEM"
28,14,"Jasper Place - WEM"
29,15,"Mill Woods - Downtown - Eaux Claires"
30,15,"Mill Woods - Downtown - Eaux Claires"
31,16,"Castle Downs - Northgate - Gov't Centre"
32,16,"Castle Downs - Northgate - Gov't Centre"
33,17,"Century Park - Southgate"
34,17,"Century Park - Southgate"
35,23,"Mill Woods - Leger - WEM"
36,23,"Mill Woods - Leger - WEM"
37,24,"Century Park - Windermere - Leger"
38,24,"Century Park - Windermere - Leger"
39,25,"Leger - Ambleside - Century Park"
40,25,"Leger - Ambleside - Century Park"
41,26,"Leger - Windemere"
42,26,"Leger - Windemere"
43,30,"Century Park - South Campus"
44,30,"Century Park - S. Campus-Ft. Edm"
45,31,"Southgate - Bulyea - Leger"
46,31,"Southgate - Bulyea - Leger"
47,32,"S. Campus-Ft. Edm. - Brander Gardens"
48,32,"S. Campus-Ft. Edm. - Brander Gardens"
49,33,"Meadows - Mgte - Sgte - Riverbend - WEM"
50,33,"Meadows - Mgte - Sgte - Riverbend - WEM"
51,34,"Southgate - Bulyea - Leger"
52,34,"Southgate - Bulyea - Leger"
53,35,"Century Park - Leger"
54,35,"Century Park - Leger"
55,36,"Century Park - S. Campus-Ft. Edm"
56,36,"Century Park - S. Campus-Ft. Edm"
57,37,"Century Park - Leger"
58,37,"Century Park - Leger"
59,38,"Leger - Southgate"
60,38,"Leger - Southgate"
61,39,"Century Park - MacEwan - Rutherford"
62,39,"Century Park - MacEwan - Rutherford"
63,40,"Century Park - Yellowbird - Southgate"
64,40,"Century Park - Yellowbird - Southgate"
65,41,"Century Park - Southgate"
66,41,"Century Park - Southgate"
67,43,"Century Park - South Campus-Fort Edmonton Park"
68,43,"Century Park - S. Campus-Ft. Edm"
69,44,"Southgate - Twin Brooks"
70,44,"Southgate - Twin Brooks"
71,45,"Century Park - Southgate"
72,45,"Century Park - Southgate"
